Subject,Having_IP,Having_At_Symbol,Prefix_Suffix,URL_Length_Long,HTTPS_Token_in_URL,Suspicious_TLD,Shortening_Service,Contains_Password_Field,Domain_Old(>12mo),Alexa_Popular,label
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] Cooling Problems - Action needed,0,0,1,0,1,1,0,1,1,1,1
Guaranteed Erection Fast,0,0,0,0,1,0,0,0,1,1,1
Re: svn commit: r631666 - in /spamassassin/site: devel/index.html gtube/index.html released/index.html tag/index.html ,0,0,0,0,0,0,0,0,1,1,1
Re: [python-win32] Creating python com objects,0,0,1,0,0,0,1,1,1,1,1
CNN.com Daily Top 10,0,0,1,1,0,0,0,0,0,1,1
Get the latest news on your health. MZ,0,0,0,0,0,0,0,0,1,1,0
Re: [Buildbot-devel] Cannot get sendchange to work,0,0,0,0,0,1,0,0,1,1,1
Try Unlimited Tarot For 30 Days On Us! ,0,0,0,0,0,0,0,0,1,1,0
From Rocco Wolff,0,0,1,0,0,0,0,1,1,1,1
One Year written replica watches warranty - Urgent,1,0,0,0,0,0,0,0,1,1,1
Wie kann ich online Vi kauf?,0,0,0,0,0,1,0,1,1,1,1
First-rate elegant items - Urgent,0,0,1,1,1,0,1,0,1,1,1
Re: [spambayes-dev] [imapfilter] saving 1804 with new id: 1209671482,0,0,1,0,0,0,0,0,1,1,0
Goodiest giovanne solution,0,0,0,0,0,0,0,0,1,1,0
Forget about failures in bedroom for 3 months,0,0,0,0,0,0,0,0,1,1,0
Watches for all tastes at Replica Classics online store  ,0,0,0,1,0,1,0,0,1,1,1
Feel the real holiday,0,0,0,0,0,0,0,0,1,1,0
Your order in processing,0,1,0,0,1,0,0,0,1,1,1
Re: [Python-Dev] stable buildbots,1,0,0,0,0,0,0,0,1,1,0
Just Read What Our Satisfied Customers Say,1,0,0,1,0,0,1,0,1,1,1
CNN Alerts: My Custom Alert,0,1,0,0,0,1,0,0,1,1,1
Re: [ILUG] openvpn problem,0,0,0,0,0,0,0,0,1,1,0
"Much bigger, than you used to have it!",0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,1,1,0,0,0,0,1,1,1
Your happiness is much closer now,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-3000] Types and classes,0,0,0,0,0,0,0,0,1,1,0
From Shannon Ballard,0,0,0,0,0,0,0,0,1,1,0
Re: [IIU] Eircom mail server weirdness,1,0,1,0,0,1,1,0,1,1,1
Offer variety replica watches,0,0,0,0,0,0,0,0,1,1,0
Re: [R] Switch two rows in a matrix,0,0,1,0,0,0,0,0,1,1,0
[Python-3000] Silent failing unit tests.,0,0,0,0,0,0,0,0,1,1,0
"Re: new article, ""A Romp Through Infinity"" - Important",0,0,0,0,0,0,0,0,1,1,0
CertifiedSafeSecureCialis,1,1,1,0,0,0,1,0,1,1,1
August playboy centrefold,1,1,1,0,0,0,0,0,1,1,1
Re: how to round off a decimal to the next whole number,1,1,0,0,1,0,0,0,1,1,1
$20 for a Few Minutes of Your Time,0,0,0,0,0,0,0,0,0,1,0
"[UAI] CFP AIMSA 2006 - Artificial Intelligence: Methodology, Systems, Applications",0,0,0,0,0,0,0,0,1,1,0
Luxurious costume replica watches at ...  ,0,0,0,0,1,0,1,0,1,1,1
CNN.com Daily Top 10,0,0,0,1,0,0,0,0,1,1,1
"Make the Impossible, Possible. Enlarge your Penis by 3"" in Weeks!",0,0,0,0,0,0,0,0,1,1,0
Find your love stick gain here,0,0,1,0,1,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Purchase  you meds in easy and confidential way in CanadianPharmacy.,0,0,0,0,0,0,0,0,1,1,0
